,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
153,Entry Level Software Engineer,Common Goal Systems Inc.,"Elmhurst, IL 60126",Estimated $54.4K - $68.8K a year,"In 5 years you can learn just about everything in a software/Internet company (aspiring startup founders welcome).
Whatever else may come up...",Posted30+ days ago,2022-05-05
154,Calling all Senior REACT JS / REDUX Software Engineer/Senior...,United Airlines Inc.,"Chicago, IL 60601 (Loop area)+1 location",N/A,"Advance knowledge of software engineering best practices such as: versioning and versioning control, software packaging and software release management using…",Posted30+ days ago,2022-05-05
155,Front-End Developer,ArtVersion,"Remote in Chicago, IL+1 location",Estimated $71.9K - $91.1K a year,ArtVersion is a leading web design company from Chicago with a global footprint and national recognition for its web design capabilities.,Posted30+ days ago,2022-05-05
156,Software Engineer II,Home Chef,"Remote in Chicago, IL 60607+1 location",N/A,"Mentoring other software engineers and pair programming; collaborating with others:
Contributing to software development, design and implementationShipping…",Posted30+ days ago,2022-05-05
157,"Software Engineer, React",Reveal-Brainspace,"Chicago, IL 60606 (Loop area)+1 location",Estimated $96.3K - $122K a year,"You won’t be buried in a dark corner – you’ll have the opportunity to actively shape the software, while working as an integral part of a dynamic team of…",Posted14 days ago,2022-05-05
158,Software Developer,Chicago Fire FC,"Chicago, IL",Estimated $92K - $116K a year,"Experience with software development tools and processes– source control, code reviews, agile development.
The developer will collaborate closely with members…",Posted30+ days ago,2022-05-05
159,Software Engineer,Focused Labs,"Remote in Chicago, IL",Estimated $119K - $151K a year,"Here at Focused Labs, we are a small, select, software development team that wants to improve the world of software engineering through excellence.",Posted30+ days ago,2022-05-05
160,new,Deloitte,"Chicago, IL 60606 (The Loop area)+9 locations",N/A,"Analysis, design and programming in every phase of project SDLC.
NET developer you will work on an integration project with an existing .",Posted7 days ago,2022-05-05
161,new,Salesforce,"Chicago, IL 60654 (River North area)+3 locations",N/A,Slack on iOS is used by millions of people every week - we need engineers who want to make that experience as pleasant as possible.,PostedToday,2022-05-05
162,Senior Software Engineer,Alacrity IT Solutions,"Naperville, IL",Estimated $125K - $159K a year,"Ant, Clearcase (or another software configuration and versioning tool).
Responsible for definition, design, construction, integration, testing, and support of…",Posted30+ days ago,2022-05-05
163,Software Engineer - TypeScript/React,DRW Trading Group,"Chicago, IL+9 locations",Estimated $112K - $142K a year,"While our applications are used by a relatively small but growing set of users, the decisions made through them are very large.",Posted30+ days ago,2022-05-05
164,Full Stack Software Engineer,John Deere,"Chicago, IL+4 locations",N/A,"A culture where great ideas thrive because every voice is heard.
Exposure to implementing major software programs leveraging change management.",Posted27 days ago,2022-05-05
165,Senior Full Stack Software Engineer (Special Projects),Arrive Logistics,"Chicago, IL+1 location",Estimated $112K - $142K a year,"You have solid experience with React *(or similar modern FE Framework) and Node/Express*.
The typical software engineering stuff, write good code, review,…",Posted13 days ago,2022-05-05
166,Software Engineer,Fortinet,"Chicago, IL+2 locations",Estimated $90.1K - $114K a year,"This position requires software development skills focusing on embedded systems, system administration, scalability and performance.",Posted30+ days ago,2022-05-05
167,Software Engineer,Cloudbot,"Chicago, IL",Estimated $53K - $67.2K a year,"We have opportunities for ownership of a number of projects ranging from API integrations, performance enhancements and writing production code.",Posted30+ days ago,2022-05-05
168,Software Engineer,Northwestern University,"Chicago, IL+1 location",N/A,"Writes maintainable code with extensive test coverage, working in a professional software engineering environment (with source control, dev/stage/prod release…",Posted30+ days ago,2022-05-05
169,Software Engineer,S&P Global,"Remote in Chicago, IL 60601",N/A,"As part of the team, you’ll be working with a variety of languages and platforms, but primarily focusing on Java and Scala.
Solve complex, non-routine problems.",Posted30+ days ago,2022-05-05
170,new,"JPMorgan Chase Bank, N.A.","Chicago, IL",N/A,"BS/BA degree or equivalent experience.
Ability to manage large scale technical release events.
Communicate technical issues and solution with precision and…",Posted2 days ago,2022-05-05
171,"Associate, Software Engineering",Options Clearing Corporation,"Hybrid remote in Chicago, IL",Estimated $62K - $78.4K a year,"Problem solving issues that arise in day to day running of processes and providing timely responses and solutions as required.
Generous PTO and Parental leave.",Posted20 days ago,2022-05-05
172,new,Pariveda Solutions,"Chicago, IL 60606 (West Loop Gate area)",N/A,"Company Ownership through Employee Stock Ownership Plan (ESOP) from your very first day at Pariveda.
3+ years of hands-on software development experience.",Posted7 days ago,2022-05-05
173,IOT Solution Engineer,RELAYR,"Remote in Chicago, IL",Estimated $109K - $138K a year,"Identify the best fit to customer on-site needs, bridging the physical and digital world with a product-oriented approach.
Basic networking and Linux skills.",Posted30+ days ago,2022-05-05
174,Associate Engineer Software Quality,Northrop Grumman,"Remote in Rolling Meadows, IL 60008+1 location",N/A,"Experience in embedded software development.
Experience in supporting systems analysis, systems integration, software analysis, software development, software…",Posted30+ days ago,2022-05-05
175,"Software Developer at a GROWING COMPANY in downtown Chicago,...",Midland IRA,"Chicago, IL",Estimated $72.2K - $91.4K a year,"Midland encourages participation in both day-to-day operational decisions as well as long-term, strategic planning discussions.",Posted8 days ago,2022-05-05
176,Associate Developer,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Hybrid remote in Chicago, IL+3 locations",N/A,"Experience with version control using GitHub and Node-base build tools such as Webpack, Grunt and Gulp.
This position is responsible for working closely with…",Posted30 days ago,2022-05-05
177,Java Software Engineer | Weldonit,Weldonit,"Chicago, IL",Estimated $87.1K - $110K a year,"Assist project leadership in creating estimations of work for client projects, estimating required staffing resources, and determining the project software…",Posted30+ days ago,2022-05-05
178,Software Developers,eTek IT Services,"Schaumburg, IL 60173",Estimated $79.7K - $101K a year,"Req. - Bachelors +2 yr exp. or 3 yr of Post-Sec.
Comp. salary, Travel/Relocation within USA possible.",Posted30+ days ago,2022-05-05
179,Software Engineer - TypeScript/React,DRW,"Remote in Chicago, IL+7 locations",N/A,"Strong ability to work with people and their ideas, and then design, engineer, and deliver those ideas as well-built products.",Posted30+ days ago,2022-05-05
180,Software Engineer (Python),TechIntelli Solutions,"Des Plaines, IL",Estimated $71.9K - $91.1K a year,"Familiarity with object oriented software design and implementation.
Develop and facilitate software requirements and test procedures.",Posted21 days ago,2022-05-05
181,Senior Software Developer,Computer Information Systems,"Skokie, IL 60077",Estimated $95.3K - $121K a year,"Experience with manual software testing.
Experience with automated software testing.
Experience with Agile software development methodologies.",Posted30+ days ago,2022-05-05
182,Automation Test Engineer,Curve Health,"Remote in Chicago, IL",Estimated $94.1K - $119K a year,"Supporting the software team in root cause analysis and in the reproduction of error messages.
As a Test Engineer, you'll work closely with our engineers to…",Posted9 days ago,2022-05-05
183,Staff Software Engineer - Commerce Platform,"Grubhub Holdings, Inc.","Chicago, IL 60602 (The Loop area)",N/A,"Actively contribute to the adoption of software architecture, best practices, and technologies.
7+ years experience building highly-scalable consumer-facing…",Posted30+ days ago,2022-05-05
184,new,Capital One - US,"Remote in Chicago, IL+1 location",N/A,"Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve…",Posted5 days ago,2022-05-05
185,Principal Software Engineer - C# - Remote,Donnelley Financial Solutions,"Remote in Chicago, IL 60601",N/A,"8-10 years of experience designing and building scalable data-driven software applications.
Product managers, other developers, SRE, junior engineers, senior…",Posted21 days ago,2022-05-05
186,new,Intelerad,"Remote in Chicago, IL",N/A,"Broadens developer awareness of secure software development best practices.
Excellent understanding of software applications, network architectures and…",PostedJust posted,2022-05-05
187,new,BDP International,"Chicago, IL 60654 (Loop area)",Estimated $89.9K - $114K a year,"We offer a very competitive salary, full benefits, matching 401(k), tuition reimbursement, and casual dress environment.
Must be Proficient in C#.",Posted2 days ago,2022-05-05
188,"Software Engineer Automation- Chicago, IL",U.S. Bank,"Chicago, IL+1 location",N/A,"This individual will be responsible for software development and support of the bank’s Global Treasury Management APIs and supporting applications, which…",Posted16 days ago,2022-05-05
189,Software Dev Engineer/ DevOps Engineer,Expedia Group,"Chicago, IL 60661 (Near West Side area)+1 location",N/A,"You have exposure to and understanding of cloud (AWS, Google Cloud, Azure, etc.).
In depth knowledge of designing, developing, testing, and supporting software…",Posted30+ days ago,2022-05-05
190,Sr Staff Software Engineer,GE Digital,"Chicago, IL 60606 (Loop area)",N/A,"Be responsible for providing technical leadership and defining, developing, and evolving software in a fast paced and agile development environment using the…",Posted16 days ago,2022-05-05
191,Backend Engineer (Remote),ReviewTrackers,"Remote in Chicago, IL",Estimated $112K - $141K a year,"You will be working in our engineering organization of 20+ engineers, and on a team of 3-5 other engineers, a product manager, product designer.",Posted23 days ago,2022-05-05
192,new,Psychology Today,"Remote in Chicago, IL",N/A,"4+ years experience in web development/software engineering.
Good understanding of and experience implementing server side rendering techniques.",Posted7 days ago,2022-05-05
193,Software Engineer,Aquatic Capital Management,"Remote in Chicago, IL+1 location",Estimated $113K - $143K a year,"In this role, you will work with quantitative researchers and other software engineers to improve the capabilities of our primary trading strategy workflow and…",Posted30+ days ago,2022-05-05
194,SOFTWARE ENGINEER,embedUR systems,"Chicago, IL",Estimated $94.3K - $119K a year,"Exposure to embedded engineering is a plus.
Ensuring designs meet and exceed product specifications, and regulatory requirements.",Posted30+ days ago,2022-05-05
195,new,VMware,"Remote in Chicago, IL+3 locations",N/A,"Our cloud service is running in the AWS today, so prior experience working on cloud-based backend is preferred.
Full Time/ Part Time: Full Time.",Posted1 day ago,2022-05-05
196,Game Designer,GAMEVISION,"Naperville, IL",N/A,"Strong knowledge of game software technology and game art production.
Design User Interface and Use Experience.
Previous Game Design and Development experience.",Posted30+ days ago,2022-05-05
197,Software Engineer - Platforms,Adyen,"Chicago, IL",Estimated $103K - $131K a year,"You have great communication skills and the ability to articulate complex, technical concepts.
We are looking for software engineers who have high availability,…",Posted30+ days ago,2022-05-05
198,"Senior Software Engineer, Lifecycle",Square,"Chicago, IL 60647 (Logan Square area)+1 location",N/A,"Build with modern front-end and server-side technologies and frameworks.
With Cash App, anyone can easily send, spend, or invest their money in stocks or…",Posted27 days ago,2022-05-05
199,Mid-level Software Engineer,Provi,"Remote in Chicago, IL",Estimated $106K - $135K a year,"A software engineer with experience developing web applications in (Ruby, Rails) in the cloud (AWS) as part of a remote team.",Posted30+ days ago,2022-05-05
200,Software Development Engineer in Test,DRW Trading Group,"Chicago, IL+1 location",Estimated $90.9K - $115K a year,"Knowledge of CI software, such as TeamCity or Jenkins.
Work with senior developer in charge of testing frameworks to help with the design and coding of the…",Posted30+ days ago,2022-05-05
201,Software Engineer (Job Code SE),SP Teks,"Schaumburg, IL 60173",Estimated $86.8K - $110K a year,"Design, develop, implement & test applications or systems-level software.
Travel and/or relocation required for all positions.",Posted30+ days ago,2022-05-05
202,SENIOR SOFTWARE ENGINEER - BACK END,"Hyatt Corporate Office, Chicago","Chicago, IL+2 locations",Estimated $119K - $151K a year,"They apply DevOps tools and culture to deliver software to production early and often, with highly automated and reliable procedures.",Posted23 days ago,2022-05-05
203,Sr. Specialist Software Development and Engineering,Charles Schwab,"Chicago, IL",N/A,"Experience with source control and Agile Tools (Bitbucket, Jira, Zephyr, Bamboo, GIT).
Familiarity with SQL Server or document-oriented databases (MongoDB).",Posted30+ days ago,2022-05-05
204,Web Developer (Consultant),GN Group,"Glenview, IL",N/A,"NET 4.0/4.5 Framework or .net core.
Candidate needs to have 2 - 5 years of experience working on web application projects in a 3 Tie architecture environment.",Posted9 days ago,2022-05-05
205,Experienced Software Engineer,Argonne National Laboratory,"Hybrid remote in Lemont, IL 60439+6 locations",Estimated $98.1K - $124K a year,"Experience in software development life cycle, including software testing and debugging.
Demonstrated oral and written communication skills including the…",Posted28 days ago,2022-05-05
206,new,Larsen & Toubro Infotech Limited,"Chicago, IL+1 location",N/A,Working and doing application improvement on various mobile stages and building up the application in a joint effort with other colleagues.,Posted1 day ago,2022-05-05
207,Senior Software Engineer,"Vizient, Inc.","Chicago, IL 60606 (Loop area)+1 location",N/A,"5 or more years’ experience developing software is required.
In this role, you will build and maintain software products for Vizient.",Posted30+ days ago,2022-05-05
208,Quality Engineer in Software Test,CVS Health,"Remote in Chicago, IL+1 location",N/A,"CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless…",Posted30+ days ago,2022-05-05
209,new,Byzzer,"Chicago, IL",Estimated $74.8K - $94.8K a year,"0-5+ years of relevant software engineering experience.
Strong fundamentals in front and back-end object-oriented programming, including proficiency in…",Posted4 days ago,2022-05-05
210,Software Engineer,CACI,"Lisle, IL 60532",N/A,"You will demonstrate breadth and flexibility by contributing at various levels of software development from infrastructure through application, including full…",Posted30+ days ago,2022-05-05
211,Senior Full Stack Software Engineer (Special Projects),Arrive Logistics,"Chicago, IL+1 location",Estimated $112K - $142K a year,"You have solid experience with React *(or similar modern FE Framework) and Node/Express*.
The typical software engineering stuff, write good code, review,…",Posted13 days ago,2022-05-05
212,Software Development Engineer in Test (SDET),Caterpillar,"Chicago, IL 60622 (West Town area)",N/A,"5 year or more of prior either functional or object- oriented coding experience in modern programming languages like Java, TypeScript, JavaScript or Python …",Posted30+ days ago,2022-05-05
213,Senior Software Developer - Motion Control Systems,Northwestern University,"Lemont, IL 60439",N/A,"5 years experience with motion control systems.
In addition, this is a very exciting time with the APS undergoing a major upgrade in April 2023 and LS-CAT needs…",EmployerActive 9 days ago,2022-05-05
214,Web Developer (Consultant),Beltone,"Glenview, IL 60026",N/A,"NET 4.0/4.5 Framework or .net core.
Candidate needs to have 2 - 5 years of experience working on web application projects in a 3 Tie architecture environment.",Posted9 days ago,2022-05-05
215,Staff Software Engineer,OppFi,"Remote in Chicago, IL+1 location",Estimated $150K - $190K a year,"10+ years of experience in software engineering.
Demonstrated experience solving tough problems with software at scale.",Posted14 days ago,2022-05-05
216,Software Engineer,Avant,"Remote in Chicago, IL",Estimated $113K - $143K a year,"Develop and maintain strong relationships with engineers, managers, and other colleagues based on trust, empathy, and technical expertise.",Posted30+ days ago,2022-05-05
217,Software Engineer,Happy Returns,"Chicago, IL+1 location",N/A,"We have great benefits including a flexible work environment, employee shares options, health and life insurance and more.",Posted30+ days ago,2022-05-05
218,Senior Software Engineer,"Zoom Video Communications, Inc.","Remote in Chicago, IL",Estimated $106K - $135K a year,"3 years of software programming experience.
Design major software components and features.
Excellent foundation in computer science, with competencies in data…",Posted30+ days ago,2022-05-05
219,Software Support Engineer,Trumpf,"Hybrid remote in Hoffman Estates, IL 60192",N/A,"Support TRUMPF’s Metamation CAD CAM programming software.
Integration of software for next generation Smart Factory automation systems.",Posted30+ days ago,2022-05-05
220,"Software Development Engineer II –(iOS, frontend)",Expedia Group,"Chicago, IL 60661 (Near West Side area)+1 location",N/A,"Actively mentor peers and other software engineers.
Provide and participate in code reviews to assess overcall code quality and flexibility, and the application…",Posted30+ days ago,2022-05-05
221,Lead Frontend Software Engineer,Avant,"Chicago, IL",Estimated $118K - $149K a year,"Use frameworks like React and Angular to build world-class Applications.
Work with other engineers and technical product managers to write, test, and deploy…",Posted30+ days ago,2022-05-05
222,"Software Engineer (FrontEnd/Fullstack), Square Banking Credi...",Square,"Chicago, IL 60647 (Logan Square area)+1 location",N/A,"Work with engineering, product, and other partners to build software that is clean, well-tested and forward-thinking by leveraging cloud technologies.",Posted15 days ago,2022-05-05
223,Software Engineer - Java Developer,Exelon Corporation,"Chicago, IL 60603 (The Loop area)+5 locations",N/A,"You will be responsible for various aspects of designing, developing, deploying and maintaining applications within the project.",Posted30+ days ago,2022-05-05
224,Software Engineer,CCC,"Chicago, IL+2 locations",N/A,"The Software Engineer will join the Products & Technology Parts Team working on new, emerging, and existing software products.",Posted8 days ago,2022-05-05
225,new,PowerReviews,"Chicago, IL+1 location",Estimated $83.5K - $106K a year,"We have a team-oriented culture, and you will find yourself working closely with other engineers of varying disciplines (Java, QA, DevOps, Front-End ReactJS,…",Posted6 days ago,2022-05-05
226,new,VMware,"Remote in Chicago, IL+14 locations",N/A,"Build cloud first scalable software.
You will also be involved in white boarding, problem solving, troubleshooting cloud native SASE service including…",Posted1 day ago,2022-05-05
227,Software Developer,Syswise,"Chicago, IL 60606 (The Loop area)",Estimated $100K - $127K a year,"JOB DUTIES: Write, Analyze, Develop software and computer programs to retrieve, locate and store data.
Travel And/or Relocation to unanticipated client sites is…",Posted30+ days ago,2022-05-05
228,new,Humanity,"Chicago, IL",Estimated $119K - $151K a year,These systems enable our users to interact with machine learning and data analytic platforms to power NielsenIQ deliverables throughout the world.,PostedJust posted,2022-05-05
229,Java Developer with PCF Experience,Apexon,"Remote in Chicago, IL 60606+1 location",N/A,"Our client is looking Java Developer with PCF Experience in long term project in Chicago, IL (Remote ).
Perform independent code reviews and execute unit tests…",Posted30+ days ago,2022-05-05
230,Engineering Lead,"Digital Diagnostics, Inc.","Remote in Chicago, IL",Estimated $136K - $173K a year,You believe in communities of best practice harmonizing approaches to software engineering best practices across teams.,Posted8 days ago,2022-05-05
231,Software Tester Engineer,Milliman,"Chicago, IL 60606 (The Loop area)",Estimated $77.9K - $98.7K a year,"2+ years software engineer in test role.
Social interaction with other testers, the software developers, and the users of the system is very important.",Posted30+ days ago,2022-05-05
232,NXT – Systems Software Engineer,CITADEL ENTERPRISE EUROPE LIMITED,"Chicago, IL+2 locations",Estimated $88.2K - $112K a year,"Practices such as limiting time spent on operational work, blameless postmortems and proactive identification of potential outages factor into iterative…",Posted30+ days ago,2022-05-05
233,Staff Software Engineer,BlackLine,"Remote in Chicago, IL 60611",Estimated $133K - $169K a year,"Implement, refine, and enforce software development techniques to ensure that the delivered features meet software integration, performance, security, and…",Posted13 days ago,2022-05-05
234,new,Optum,"Remote in Chicago, IL 60601",N/A,"Design, develop and productionize scalable and resilient data pipelines in a cloud-based data platform.
In addition to your salary, UnitedHealth Group offers…",Posted1 day ago,2022-05-05
235,UI Developer,Deloitte,"Chicago, IL 60606 (The Loop area)+3 locations",N/A,"Prior use of dependency management with NPM as well as source code control such as Git or Bitbucket.
Encourage a culture of growth by sharing knowledge with…",Posted30+ days ago,2022-05-05
236,Software Developer,Northwestern Memorial Healthcare,"Chicago, IL 60611 (Streeterville area)+2 locations",N/A,"3+ years of experience as a full stack software developer.
Participate in the Agile software development from concept, design to full-stack coding and testing.",Posted25 days ago,2022-05-05
237,new,Impact Networking LLC,"Chicago, IL 60601 (The Loop area)",Estimated $53.9K - $68.3K a year,"The Support Developer will take a key role on our team and must have a firm grasp of the foundations of web development.
Experience with PHP is a plus.",Posted4 days ago,2022-05-05
238,new,WALGREENS,"Chicago, IL 60607 (West Loop Gate area)",N/A,"Bachelor’s Degree and at least 2 years of Engineering, Software Engineering or similar field experience OR High School/ GED and at least 4 years of Engineering,…",Posted6 days ago,2022-05-05
239,"Director, Software Development Engineering",Expedia Group,"Chicago, IL 60661 (Near West Side area)",N/A,"Advocate for designing software that is scalable, resilient and stable.
Be well versed/has up-to-date knowledge in EG's languages, frameworks, cloud services,…",Posted30+ days ago,2022-05-05
240,"Senior Consultant, Software Engineering",One Six Solutions,"Chicago, IL 60603 (The Loop area)",Estimated $125K - $159K a year,"Our team of full-time consultants build modern cloud based, custom business solutions for clients around the Chicagoland area.",Posted30+ days ago,2022-05-05
241,new,NORC at the University of Chicago,"Chicago, IL 60603 (The Loop area)",N/A,Take an active role in developing software development policies and procedures under the guidance of the department manager.,Posted6 days ago,2022-05-05
242,"AI/ML Specialist, Americas, AWS AIML Business Development","Amazon Web Services, Inc.","Chicago, IL",N/A,"The ideal candidate will possess a business and machine learning or data analytics background, and will have a foundation of having directly driven customer…",Posted15 days ago,2022-05-05
243,Front-End Developer,Messina Group Consulting,"Remote in Chicago, IL 60645",Estimated $84.8K - $107K a year,"She made sure to check in with me every step of the way and even gave me tips about interviewing.
Will work closely with the digital and regional marketing…",Posted9 days ago,2022-05-05
244,Software Development Engineer in Test,Citadel Securities,"Chicago, IL 60603 (The Loop area)",Estimated $88.9K - $113K a year,"Work with stock, futures, options and other exchanges to understand market protocols and rules of engagement.
Experience programming in Python or C++.",Posted30+ days ago,2022-05-05
245,Web Developer (Consultant),Beltone,"Glenview, IL 60026",N/A,"NET 4.0/4.5 Framework or .net core.
Candidate needs to have 2 - 5 years of experience working on web application projects in a 3 Tie architecture environment.",Posted9 days ago,2022-05-05
246,SENIOR/STAFF SOFTWARE ENGINEER (LTE),SpanIdea,"Naperville, IL",Estimated $119K - $151K a year,"Strong ‘C’, ‘C++’ skills in embedded systems, e.g., complex computational algorithm design and implementation.
Strong knowledge ofreal-time operating systems.",Posted30+ days ago,2022-05-05
247,new,Johnson Controls,"Chicago, IL 60606 (The Loop area)",N/A,"Lead a high performing team of software developers to define, design, build, and maintain high quality software that supports key ShopperTrak business…",Posted6 days ago,2022-05-05
248,Software Engineer (Python),EAB,"Remote in Chicago, IL 60606",Estimated $100K - $127K a year,"Ability to work with engineers and product management teams in requirements definition, design, and development of software products.",Posted23 days ago,2022-05-05
249,Full Stack Developer,Waltz Health,"Remote in Chicago, IL",Estimated $110K - $140K a year,"Competitive compensation including meaningful stock options.
Academic projects and/or side projects may be considered as well.",Posted16 days ago,2022-05-05
250,new,Cars.com,"Remote in Naperville, IL",Estimated $75.5K - $95.5K a year,"Work with other teams such as design and project management to ensure timely delivery of projects.
This position is responsible for the creation of our clients'…",Posted7 days ago,2022-05-05
251,Software Engineer,Syndigo,"Remote in Chicago, IL",Estimated $98K - $124K a year,"3-5 years of professional experience in developing software using relevant technologies.
Be part of large teams collaborating on software development.",Posted9 days ago,2022-05-05
